Month,Beginning Balance,Payment,Principle,Interest,End Balance
1,$19308.28,$-2000.00,$-1953.34,$46.66,$17354.94
2,$17354.94,$-2000.00,$-1958.06,$41.94,$15396.88
3,$15396.88,$-2000.00,$-1962.79,$37.21,$13434.09
4,$13434.09,$-2000.00,$-1967.53,$32.47,$11466.56
5,$11466.56,$-2000.00,$-1972.29,$27.71,$9494.27
6,$9494.27,$-2000.00,$-1977.06,$22.94,$7517.21
7,$7517.21,$-2000.00,$-1981.83,$18.17,$5535.38
8,$5535.38,$-2000.00,$-1986.62,$13.38,$3548.76
9,$3548.76,$-2000.00,$-1991.42,$8.58,$1557.33
10,$1557.33,$-2000.00,$-1996.24,$3.76,$-438.90
