Word,Type,Pronunciation,Definition,Sentence,Synonyms,Favor
Abase,verb,uh bays,to humble; disgrace,My intention was not to abase the comedian,demean; humiliate,1
Abate,verb,uh bayt,"to reduce in amount, degree, or severity","As the hurricane's force abated, the winds dropped and the sea became calm",ebb; lapse; let up; moderate; relent; slacken; subside; wane,1
Abstain,verb,uhb stayn,to choose not to do something,"Before the medical procedure, you must abstain from eating",forbear; refrain; withhold,1
Abstemious,adj,aab stee me uhs,moderate in appetite,"Because Alyce is a vegetarian, she was only able to eat an abstemious meal at the Texas Steakhouse",abstinent; continent; self-restraining; sober; temperate,
Abyss,noun,uh bihs,an extremely deep hole,The submarine dove into the abyss to chart the previously unseen depths,chasm; void,
Acidulous,adj,uh si juh luhs,sour in taste or manner,The adiculous taste of the spoiled milk made the young boy's lips pucker,acerbic; acetous; biting; piquant; pungent; tart,
Acme,noun,aak mee,highest point; summit; the highest level or degree attainable,"Just when he reached the acme of his power, the dictator was overthrown",apex; peak; summit,
Adulterate,verb,uh duhl tuhr ayt,to make impure,The restaurateur made his ketchup last longer by adulterating it with water,debase; doctor; load; degrade,1
Advocate,verb,aad vuh kayt,to speak in favor of,The vegetarian advocated a diet containing no meat,back; champion; support,1
Aerie,noun,ayr ee,"a nest build high in the air; an elevated, often secluded, dwelling","Perched high among the trees, the eagle's aerie was filled with eggs",perch; stronghold,
Aesthetic,adj,ehs theh tihk,concerning the appreciation of beauty,The aesthetic movement regarded the pursuit of beauty to be the only true purpose of art,artistic; tasteful,1
Aggrandize,verb,uh graan diez,"to increase in power, influence, and reputation",The supervisor sought to aggrandize himself by claiming that the achievements of his staff were actually his own,amplify; apotheosize; augment; dignify; elevate; enlarge; ennoble; exalt; glorify; magnify; swell; uplift; wax,1
Alacrity,noun,uh laak crih tee,speed or quickness,The restaurant won a reputation for fine service since the wait staff responded to their clients' requrests with alacrity,celerity; dispatch; haste; swiftness,
Ambiguous,adj,aam bihg yoo uhs,doubtful or uncertain; can be interpreted several ways,The direction he gave were so ambiguous that we disagreed on which way to turn,cloudy; doubtful; dubious; equivocal; indeterminate; nebulous; obscure; unclear; vague,1
Analgesia,noun,aah nuhl jee zhuh,a lessening of pain without loss of consciousness,"After having her appendix removed, Tatiana welcomed the analgesia that the painkillers provided",narcosis; apathy; inactivity,
Analogous,adj,uh naal uh guhs,similar or alike in some way; equivalent,His mother argued that not going to college was analogous to throwing his life away,alike; comparable; corresponding; equivalent; homgeneous; parallel; similar,1
Anodyne,noun,aah nuh dien,something that calms or soothes pain,The anodyne massage helped remove the knots from the lawyer's tense shoulders,narcotic; nepenthe; opiate,
Antagonize,verb,aan taa guh niez,to annoy or provoke to anger,The child discovered that he could antagonize the cat by pulling its tail,clash; conflict; incite; irritate; oppose; pester; provoke; vex,1
Antipathy,noun,aan tih puh thee,extreme dislike,The antipathy between fans of the rival soccer teams meade the game even more electrifying to watch,abhorrence; animosity; animus; antagonism; aversion; dislike; enmity; hatred; hostility; loathing; repellence; repugnance; repulision; revulsion,1
Apathy,noun,aa pah thee,lack of interest or emotion,The apathy of voters is so great that less than half the people who are eligible to vote actually bother to do so.,coolness; disinterest; disregard; impassivity; indifference; insensibility; lassitude; lethargy; listlessness; phlegm; stolidity; unconcern; unresponsiveness,1
Apocryphal,adj,uh pahk ruh fuhl,of questionable authority or authenticity,"There is no hard or authoritative evidence to support the apocryphal tales that link the Roswell, New Mexico, incident to a downed UFO",disputed; doubtful; fictitious; fraudulent,
Arbitrate,verb,ahr bih trayt,to judge a dispute between two opposing parties,"Since the couple could not come to an agreement, a judge was forced to arbitrate their divorce proceedings",adjudge; adjudicate; determine; intermediate; intervene; judge; moderate; referee; rule,1
Articulate,adj,ahr tih kyuh luht,able to speak clearly and expressively,"She is extremely articulate when it comes to expressing her pro-labor views; as a result, unions are among her strongest supporters",eloquent; expressive; fluent; lucid; sliver-tongued; smooth-spoken,1
Assail,verb,uh sayl,to attack; assualt,"The foreing army will try to assail our bases, but they will not be successful in their attack",beset; strike; storm,1
Bevy,noun,beh vee,group,"As predicted, a bevy of teenagers surrounded the rock star's limousine.",band; bunch; gang; pack; troop,1
Bilk,verb,bihlk,to cheat; defraud,"When the greedy salesman realized that his customer spoke poor French, he bilked the tourist out of 20 euros",beat; defraud; diddle; gyp; overreach,
Blight,verb,bliet,to afflict; destroy,The farmers feared that the night's frost would blight the potato crops entirely,damage; plague,1
