Word,Type,Pronunciation,Definition,Sentence,Synonyms,Favor
A priori,adj,uh-pree-awr-ee,deductive; formed or conceived beforehand,There's no a priori reason to think your expenses will remain the same in a new city,deducible; deductive; derivable; inferable; inferential; reasoned,1
Abase,verb,uh-beys,to humble; disgrace,My intention was not to abase the comedian,demean; humiliate,1
Abate,verb,uh-beyt,"to reduce in amount, degree, or severity","As the hurricane's force abated, the winds dropped and the sea became calm",ebb; lapse; let up; moderate; relent; slacken; subside; wane,1
Abdicate,verb,ab-di-keyt,"to give up a position, right, or power","With the angry mob clamoring outside the palace, the king abdicated his throne and fled",cede; relinquish; resign; quit; yield,1
Aberrant,adj,uh-ber-uhnt,deviating from what is normal or expected,"Since he had been a steady, cheerful worker for many years, his fellow postal workers did not expect his aberrant burst of rage",abnormal; anomalous; deviant; divergent; errant; irregular,1
Abeyance,noun,uh-bey-uhns,temporary suppression or suspension,The baseball game was held in abeyance while it continued to rain,deferral; delay; dormancy; postponement; remission,1
Abject,adj,ab-jekt,(of something bad) experienced or present to the maximum degree; (of a person or their behavior) completely without pride or dignity; self-abasing,His letter plunged her into abject misery,wretched; miserable; hopeless; pathetic; contemptible; base; low; debased; unworthy,1
Abjure,verb,ab-joo r,to reject; abandon formally,The spy abjured his allegiance to the United States when he defected to Russia,forswear; recall; recant; retract; take back,1
Ablution,noun,uh-bloo-shuhn,the act of washing oneself (often used for humorously formal effect),The women performed their ablutions,wash,1
Abnegate,verb,ab-ne-gate,renounce or reject (something desired or valuable),The attempts to abnegate personal responsibility,deny; renounce; surrender; relinquish,1
Abominable,adj,a-bom-i-na-ble,causing moral revulsion; very bad or unpleasant,Your table manners are abominable,abhorrent; appalling; awful; disgusting; distasteful; dreadful; evil; foul; fulsome; gross; hideous; horrendous; horrib;e ,1
Abrogate,verb,ab-ro-gate,to abolish by authoritative action : Annul,"We may not always like what we hear but we are always the poorer if we close down dialogue; if we abrogate free speech, and the open exchange of ideas","abate; abolish; annul; avoid; cancel; disannul; dissolve; invalidate; negate, null; nullify; quash; repeal; vacate; void",1
Abscond,verb,ab-skahnd,to leave secretly,The patron absconded from the restaurant without paying his bill by sneaking out the back door,decamp; escape; flee,1
Abstain,verb,uhb-stayn,to choose not to do something,"Before the medical procedure, you must abstain from eating",forbear; refrain; withhold,1
Abstemious,adj,aab-stee-me-uhs,"not self-indulgent, especially when eating and drinking","Because Alyce is a vegetarian, she was only able to eat an abstemious meal at the Texas Steakhouse",abstinent; continent; self-restraining; sober; temperate,1
Abstruse,adj,ab-struse,difficult to comprehend; recondite,The speaker's abstruse explanation of quantum physics left the audience confused,complex; obscure; enigmatic; perplexing; esoteric; opaque,1
Abyss,noun,uh-bihs,an extremely deep hole,The submarine dove into the abyss to chart the previously unseen depths,chasm; void,1
Accretion,noun,uh-kree-shuhn,a growth in size; an increase in amount,The committee's strong fund-raising efforts resulted in an accretion in scholarship money,accumulation; buildup,1
Acerbic,adj,a-cerbic,"sharply or bitingly critical, sarcastic, or ironic in temper, mood, or tone","Still, last week's episode had glimmers of hope, largely courtesy of Bill Burr and his acerbic sensibility",acerb; acid; acidic; acidulous; acrid; barbed; biting; caustic; corrosive; pungent; scalding; sharp; snarky; tart,1
